Name,OID,Parent Folder,Access,Start,Target,End,Over,Close,Reusable
Screening ,SCR,NoParentFolder,,,30,1,1,,FALSE
Prior Screening Information ,DSSF,NoParentFolder,,,,,,,FALSE
Smart Re-Screening ,SCRS,NoParentFolder,,,30,1,1,,FALSE
Baseline ,BASE,NoParentFolder,,,7,1,1,,FALSE
Week 1 ,W1P,NoParentFolder,,,,,,,FALSE
Day 1 ,D1,Week 1,,,0,0,5,,FALSE
Day 4 ,D4,Week 1,,,3,2,5,,FALSE
Day 8 ,D8,Week 1,,,7,2,5,,FALSE
Year 1 ,Y1,NoParentFolder,,,,,,,FALSE
Week 2 ,W2,Year 1,,,14,2,5,,FALSE
Week 3 ,W3,Year 1,,,21,2,5,,FALSE
Week 4 ,W4,Year 1,,,28,2,5,,FALSE
Week 5 ,W5,Year 1,,,35,2,5,,FALSE
Week 6 ,W6,Year 1,,,42,2,5,,FALSE
Week 7 ,W7,Year 1,,,49,2,5,,FALSE
Week 8 ,W8,Year 1,,,56,2,5,,FALSE
Week 9 ,W9,Year 1,,,63,2,5,,FALSE
Week 10 ,W10,Year 1,,,70,2,5,,FALSE
Week 11 ,W11,Year 1,,,77,2,5,,FALSE
Week 12 ,W12,Year 1,,,84,2,5,,FALSE
Week 13 ,W13,Year 1,,,91,2,5,,FALSE
Week 14 ,W14,Year 1,,,98,2,5,,FALSE
Week 15 ,W15,Year 1,,,105,2,5,,FALSE
Week 16 ,W16,Year 1,,,112,2,5,,FALSE
Week 17 ,W17,Year 1,,,119,2,5,,FALSE
Week 18 ,W18,Year 1,,,126,2,5,,FALSE
Week 19 ,W19,Year 1,,,133,2,5,,FALSE
Week 20 ,W20,Year 1,,,140,2,5,,FALSE
Week 21 ,W21,Year 1,,,147,2,5,,FALSE
Week 22 ,W22,Year 1,,,154,2,5,,FALSE
Week 23 ,W23,Year 1,,,161,2,5,,FALSE
Week 24 ,W24,Year 1,,,168,2,5,,FALSE
Week 25 ,W25,Year 1,,,175,2,5,,FALSE
Week 26 ,W26,Year 1,,,182,2,5,,FALSE
Week 27 ,W27,Year 1,,,189,2,5,,FALSE
Week 28 ,W28,Year 1,,,196,2,5,,FALSE
Week 29 ,W29,Year 1,,,203,2,5,,FALSE
Week 30 ,W30,Year 1,,,210,2,5,,FALSE
Week 31 ,W31,Year 1,,,217,2,5,,FALSE
Week 32 ,W32,Year 1,,,224,2,5,,FALSE
Week 33 ,W33,Year 1,,,231,2,5,,FALSE
Week 34 ,W34,Year 1,,,238,2,5,,FALSE
Week 35 ,W35,Year 1,,,245,2,5,,FALSE
Week 36 ,W36,Year 1,,,252,2,5,,FALSE
Week 38 ,W38,Year 1,,,266,7,5,,FALSE
Week 40 ,W40,Year 1,,,280,7,5,,FALSE
Week 42 ,W42,Year 1,,,294,7,5,,FALSE
Week 44 ,W44,Year 1,,,308,7,5,,FALSE
Week 46 ,W46,Year 1,,,322,7,5,,FALSE
Week 48 ,W48,Year 1,,,336,7,5,,FALSE
Week 50 ,W50,Year 1,,,350,7,5,,FALSE
Week 52 ,W52,Year 1,,,364,7,5,,FALSE
Year 2 ,Y2,NoParentFolder,,,,,,,FALSE
Week 56 ,W56,Year 2,,,392,14,5,,FALSE
Week 60 ,W60,Year 2,,,420,14,5,,FALSE
Week 64 ,W64,Year 2,,,448,14,5,,FALSE
Week 65 ,W65,Year 2,,,455,14,5,,FALSE
Week 68 ,W68,Year 2,,,476,14,5,,FALSE
Week 72 ,W72,Year 2,,,504,14,5,,FALSE
Week 76 ,W76,Year 2,,,532,14,5,,FALSE
Week 78 ,W78,Year 2,,,546,14,5,,FALSE
Week 80 ,W80,Year 2,,,560,14,5,,FALSE
Week 84 ,W84,Year 2,,,588,14,5,,FALSE
Week 88 ,W88,Year 2,,,616,14,5,,FALSE
